genetic;exercise;smoking;alcohol;sugar;lifespan;BMI
78;2;17;6;2;74;22
80;3;0;2;3;97;22
80;3;3;2;2;100;31
82;2;4;3;4;79;24
79;2;9;8;3;70;25
81;3;8;3;1;99;24
79;2;18;3;2;77;18
83;3;16;8;2;86;26
78;0;3;6;3;65;25
79;2;1;9;3;75;31
79;2;5;9;1;84;28
77;2;6;5;1;91;20
80;1;0;9;2;75;32
82;1;11;4;3;71;23
81;1;3;7;2;79;22
78;2;4;8;4;76;25
80;2;13;3;3;80;28
81;2;1;7;3;78;35
83;2;4;5;1;90;22
79;2;15;8;2;73;22
84;2;8;7;3;81;22
80;2;17;1;3;76;26
82;1;18;6;4;64;21
81;1;1;3;4;71;27
79;2;5;3;2;88;20
79;3;0;7;3;97;22
79;1;4;9;1;79;19
80;2;15;8;1;79;25
84;1;4;9;1;83;24
81;1;5;1;5;71;17
82;3;10;0;2;101;20
83;3;14;4;2;93;17
82;1;20;5;1;70;16
82;1;11;6;3;73;19
79;0;18;8;3;47;32
81;2;19;2;2;71;27
82;1;4;5;1;83;16
80;1;0;9;4;76;20
82;4;15;8;3;88;24
78;2;15;7;3;64;35
79;1;3;8;3;73;23
79;1;22;9;2;52;30
83;2;0;6;2;89;25
79;1;8;8;1;70;29
77;1;9;7;1;76;20
82;1;19;7;3;60;31
82;1;19;4;3;62;24
80;2;22;7;3;71;26
79;2;18;2;2;69;33
80;1;0;4;3;75;25
80;0;1;8;3;66;23
82;1;4;10;3;68;30
78;2;0;2;3;92;24
81;2;5;4;2;88;26
81;2;15;5;1;83;23
81;2;10;1;4;74;27
81;0;11;6;3;63;20
78;1;20;6;1;69;17
83;1;15;5;2;73;22
80;1;19;7;4;66;15
83;1;20;4;3;67;19
79;2;4;8;3;81;23
79;0;1;9;1;74;19
80;2;3;9;3;82;22
82;3;13;4;3;90;23
78;1;5;8;4;70;19
80;2;3;6;5;76;33
82;3;18;9;2;84;22
80;2;1;1;3;85;30
83;1;15;8;1;80;18
80;2;8;7;2;87;20
79;1;6;4;4;70;23
79;1;16;5;1;73;21
79;2;22;5;1;72;23
80;2;17;8;2;76;20
80;2;8;1;2;89;29
81;1;13;9;5;60;27
80;1;16;5;3;61;26
80;3;4;2;2;100;15
79;1;10;2;3;67;24
80;2;17;8;3;74;21
82;1;0;8;2;81;23
77;2;4;9;2;77;25
82;2;21;9;2;76;17
80;1;21;1;1;70;23
82;1;17;3;3;67;21
80;1;18;3;2;70;17
82;0;0;5;3;65;35
80;1;1;9;3;78;23
80;2;9;5;3;81;24
80;1;21;8;3;58;25
78;2;0;5;1;90;23
83;3;21;8;1;84;28
82;1;1;7;1;83;21
81;4;22;7;2;81;33
79;1;7;1;2;76;30
81;1;12;3;2;75;26
81;2;5;6;4;79;30
76;0;16;3;1;57;27
76;1;14;7;4;57;20
80;3;13;2;3;87;27
79;3;10;5;2;88;20
84;2;7;4;3;91;22
80;2;7;9;3;71;35
80;1;22;10;4;45;26
81;2;8;7;3;79;24
79;4;0;0;3;103;29
80;1;10;6;3;70;21
80;1;15;2;1;78;21
79;1;20;8;3;62;21
81;2;13;5;1;89;20
79;0;3;8;2;63;32
83;1;12;6;2;70;28
78;4;9;2;1;104;20
84;2;4;3;2;90;25
81;2;0;8;2;88;21
82;1;19;5;2;71;21
77;0;4;7;2;62;24
80;3;3;2;3;96;24
78;2;3;7;1;87;33
80;3;3;6;2;96;19
81;1;21;9;3;62;17
77;1;13;6;4;60;23
80;1;1;9;3;69;27
79;2;18;7;2;71;20
79;3;8;4;4;93;18
78;2;15;6;3;68;29
82;2;16;6;1;71;31
82;1;16;9;3;60;24
80;0;8;7;1;71;19
80;1;16;1;3;69;24
79;2;8;4;2;82;29
79;1;0;9;4;75;22
78;1;18;10;3;50;35
81;1;18;4;2;63;30
77;1;13;8;2;60;29
78;2;14;8;1;77;24
80;2;15;8;1;70;32
77;1;9;7;4;67;22
80;2;21;5;2;74;18
79;1;12;9;3;52;35
80;0;0;9;3;67;21
78;2;5;9;2;75;33
80;3;3;0;2;102;21
79;3;4;6;3;88;23
82;2;3;5;1;88;25
82;0;16;8;2;51;36
80;3;4;2;3;101;25
82;3;11;8;2;90;20
80;1;22;1;3;67;19
81;2;18;2;2;76;20
79;2;11;5;1;82;23
80;1;10;0;2;81;15
81;1;9;2;2;77;30
80;2;3;6;3;78;30
83;2;11;7;4;79;24
79;2;7;4;3;82;27
81;3;3;6;2;95;23
82;1;16;5;2;68;29
77;1;22;6;2;53;31
77;2;19;3;3;72;19
79;1;6;8;3;73;19
79;1;4;7;2;78;20
79;0;4;10;3;64;22
78;2;22;8;2;71;21
79;2;0;7;2;89;23
80;0;16;3;1;68;19
81;4;0;1;1;107;31
79;1;0;5;3;82;20
78;1;10;9;4;63;19
82;1;6;3;4;68;24
83;1;14;2;2;79;23
79;2;0;6;1;89;23
79;2;21;4;1;77;25
80;2;19;5;3;71;27
80;2;15;2;1;89;17
80;1;8;7;3;78;15
82;1;0;10;4;71;24
80;4;3;8;4;97;18
79;2;0;8;1;87;19
80;1;15;9;2;65;24
79;2;19;9;1;74;23
78;1;5;7;2;80;21
81;1;0;1;1;85;31
80;3;19;1;2;94;20
78;1;11;8;2;71;22
82;2;19;4;1;80;26
76;1;20;8;3;58;22
83;1;4;0;4;74;29
79;1;2;8;3;74;24
82;3;0;1;2;101;23
83;0;6;8;3;72;15
81;2;19;5;2;77;28
82;2;8;10;2;75;25
81;1;16;8;1;65;21
77;1;21;9;2;64;17
79;1;15;10;2;58;27
81;2;16;1;3;76;19
80;2;17;2;1;78;23
80;1;11;6;3;64;19
79;1;22;8;3;53;28
77;1;0;5;3;76;23
77;2;20;2;2;77;25
80;1;0;0;2;86;26
80;2;21;6;3;62;26
83;1;18;5;2;75;16
80;3;5;8;3;85;28
81;0;15;6;3;60;23
79;2;5;4;3;88;23
84;0;8;7;2;69;27
76;2;0;8;3;81;21
78;1;18;6;2;65;14
77;1;1;4;2;82;22
81;1;20;0;1;73;27
81;0;13;3;2;69;18
79;2;13;7;1;77;21
81;2;15;9;3;79;17
81;1;11;3;2;76;21
79;1;2;5;2;77;22
81;0;20;8;3;53;19
78;2;0;5;1;96;20
81;2;12;0;3;78;26
79;2;0;2;2;94;19
79;1;6;6;3;76;19
81;2;16;4;2;80;18
79;3;11;5;2;82;32
83;2;13;2;3;86;20
80;1;21;6;1;60;26
81;1;12;7;2;78;16
79;2;8;9;1;81;23
82;1;13;8;2;75;18
80;3;15;9;2;73;35
80;2;13;8;3;71;21
82;2;4;9;3;76;26
77;1;3;6;2;73;25
80;1;17;6;2;69;19
80;1;0;9;1;81;19
81;2;1;7;3;93;16
77;3;12;5;2;88;21
81;0;15;5;1;67;20
82;1;8;0;2;83;17
77;1;0;2;2;84;21
80;1;4;5;3;69;33
81;2;1;7;3;83;25
82;1;20;0;1;74;25
78;2;7;6;3;79;22
82;1;7;8;2;75;23
83;3;18;7;2;80;29
82;2;21;7;3;72;16
81;3;4;7;1;104;20
80;2;7;6;1;86;24
77;1;19;3;3;56;33
81;2;21;4;3;67;24
81;2;1;9;3;82;24
79;1;17;9;2;64;22
81;2;4;9;2;78;41
78;2;13;2;3;75;20
81;2;2;5;3;82;25
83;2;6;6;2;87;22
81;1;4;8;3;75;18
80;2;7;4;1;79;33
80;2;9;4;2;83;27
78;1;13;8;2;71;15
80;1;20;8;3;62;21
78;1;10;5;2;68;25
80;2;16;5;3;75;19
79;2;17;8;2;73;18
80;1;21;9;3;54;24
82;2;1;9;2;85;26
79;1;18;7;4;60;22
81;2;5;9;3;77;21
81;2;19;7;2;75;26
81;1;4;5;5;72;15
82;2;15;5;3;77;30
81;2;7;9;3;85;16
78;3;10;1;1;95;22
79;0;3;8;3;63;25
83;1;18;6;2;63;23
81;1;10;7;3;64;23
79;3;4;5;3;87;27
78;2;1;8;3;77;28
80;2;11;9;3;75;19
79;1;11;8;1;74;24
80;2;7;8;2;80;31
82;1;16;9;2;63;22
79;1;10;9;3;68;21
77;2;16;9;1;77;20
83;1;2;7;3;78;24
81;2;14;4;1;87;21
79;1;17;8;1;60;27
80;1;10;0;2;79;24
78;1;4;8;2;77;17
81;0;13;3;3;64;20
80;2;2;2;2;96;17
76;3;5;9;1;88;34
78;1;16;3;3;65;28
82;1;1;4;2;75;26
80;0;6;6;1;77;15
81;1;12;7;3;61;32
80;2;1;9;2;86;23
79;3;15;5;2;91;17
80;1;11;0;2;78;24
83;1;13;3;1;76;25
82;2;20;1;2;87;18
83;1;0;0;3;89;16
79;3;8;5;3;86;25
79;2;18;5;4;60;34
80;3;0;1;2;104;27
81;1;12;9;1;72;25
80;1;17;4;2;62;34
77;1;1;7;3;72;20
77;1;15;8;2;59;27
81;1;7;6;3;64;29
79;0;3;8;3;62;27
79;1;1;6;4;69;31
78;2;15;7;3;73;25
76;2;15;7;3;66;24
77;2;9;6;2;73;26
